"InstanceInst.","StatusStat.","VariablesVari.","BinariesBina.","IntegersInte.","ContinuousCont.","ConstraintsCons.","Nonz.Nonz.","SubmitterSubm.","GroupGrou.","ObjectiveObje.","TagsTags."
"10teams","easy","2025","1800","0","225","230","12150","MIPLIB submission pool","–","923.9999999999997","binary set_partitioning set_packing invariant_knapsack"
"22433","easy","429","231","0","198","198","3408","MIPLIB submission pool","–","21477","mixed_binary general_linear"
"23588","easy","368","231","0","137","137","3701","MIPLIB submission pool","–","8089.999999999998","mixed_binary general_linear"
"2club200v15p5scn","hard","200","200","0","0","17013","104811","Balabhaskar Balasundaram","–","-70","binary variable_bound invariant_knapsack"
"30_70_45_05_100","easy","10772","10771","0","1","12050","45889","J. Walser","30_70","9","binary decomposition benchmark_suitable precedence variable_bound set_covering mixed_binary"
"30_70_45_095_100","easy","10976","10975","0","1","12526","46640","J. Walser","30_70","3","binary decomposition benchmark_suitable precedence variable_bound set_covering mixed_binary"
"30_70_45_095_98","easy","10990","10989","0","1","12471","46387","J. Walser","30_70","11.99999999999999","binary decomposition benchmark_suitable precedence variable_bound set_covering mixed_binary"
"30n20b8","easy","18380","18318","62","0","576","109706","E. Coughlan, M. Lübbecke, J. Schulz","–","302","benchmark benchmark_suitable precedence set_partitioning general_linear"
"50v-10","easy","2013","1464","183","366","233","2745","Serge Bisaillon","–","3311.1799841","benchmark decomposition benchmark_suitable mixed_binary general_linear"
"8div-n59k10","hard","6143","6138","5","0","2065","539151","Sascha Kurz","8div","Infeasible","infeasible set_partitioning cardinality equation_knapsack integer_knapsack general_linear"
"8div-n59k11","hard","12287","12282","5","0","4114","2126864","Sascha Kurz","8div","Infeasible","infeasible set_partitioning cardinality equation_knapsack integer_knapsack general_linear"
"8div-n59k12","hard","24575","24570","5","0","8211","8448017","Sascha Kurz","8div","Infeasible","infeasible set_partitioning cardinality equation_knapsack integer_knapsack general_linear"
"a1c1s1","easy","3648","192","0","3456","3312","10178","M. Vyve, Y. Pochet","c1s1","11503.444125","benchmark_suitable aggregations variable_bound mixed_binary"
"a2864-99blp","open","200787","200787","0","0","22117","20078717","Daniel Heinlein","selofsubspaces","-257*","binary set_packing invariant_knapsack"
"a2c1s1","easy","3648","192","0","3456","3312","10178","M. Vyve, Y. Pochet","c1s1","10889.137625","benchmark_suitable aggregations variable_bound mixed_binary"
"ab51-40-100","easy","12675","12675","0","0","11893","72745","MIPLIB submission pool","ab","-10420305975","binary decomposition numerics precedence set_packing"
"ab67-40-100","easy","12812","12812","0","0","12092","75871","MIPLIB submission pool","ab","-11186253442","binary decomposition numerics precedence set_packing"
"ab69-40-100","easy","12622","12622","0","0","11911","74233","MIPLIB submission pool","ab","-11186281442","binary decomposition numerics precedence set_packing"
"ab71-20-100","easy","6689","6689","0","0","6380","41961","MIPLIB submission pool","ab","-10420305975","binary decomposition numerics precedence set_packing"
"ab72-40-100","easy","12370","12370","0","0","11671","72137","MIPLIB submission pool","ab","-11186620442","binary decomposition numerics precedence set_packing"
"academictimetablebig","hard","168974","168974","0","0","167661","1545375","Joshua Friedman","–","427","binary aggregations precedence variable_bound set_partitioning set_packing set_covering cardinality invariant_knapsack equation_knapsack binpacking knapsack"
"academictimetablesmall","easy","28926","28926","0","0","23294","268350","Joshua Friedman","–","0","benchmark binary decomposition benchmark_suitable aggregations precedence variable_bound set_partitioning set_packing cardinality invariant_knapsack equation_knapsack binpacking knapsack"
"acc-tight2","easy","1620","1620","0","0","2520","15327","J. Walser","acc-tight","0","binary benchmark_suitable precedence set_partitioning set_packing set_covering cardinality invariant_knapsack"
"acc-tight4","easy","1620","1620","0","0","3285","17073","J. Walser","acc-tight","0","binary benchmark_suitable precedence set_partitioning set_packing set_covering cardinality invariant_knapsack mixed_binary"
"acc-tight5","easy","1339","1339","0","0","3052","16134","J. Walser","acc-tight","0","binary benchmark_suitable aggregations precedence variable_bound set_partitioning set_packing set_covering cardinality invariant_knapsack mixed_binary"
"adult-max5features","hard","32674","32597","41","36","32709","417567","Berk Ustun","ustun","5642.121938895418","variable_bound general_linear"
"adult-regularized","open","32674","32597","41","36","32709","417567","Berk Ustun","ustun","7022.953543477999*","variable_bound general_linear"
"aflow30a","easy","842","421","0","421","479","2091","T. Achterberg","aflow","1158","decomposition benchmark_suitable variable_bound set_partitioning mixed_binary"
"aflow40b","easy","2728","1364","0","1364","1442","6783","T. Achterberg","aflow","1168","decomposition benchmark_suitable variable_bound set_partitioning mixed_binary"
"air03","easy","10757","10757","0","0","124","91028","G. Astfalk","air","340160","binary aggregations set_partitioning"
"air04","easy","8904","8904","0","0","823","72965","G. Astfalk","air","56137","binary benchmark_suitable aggregations set_partitioning"
"air05","easy","7195","7195","0","0","426","52121","G. Astfalk","air","26374","benchmark binary benchmark_suitable set_partitioning"
"aligninq","easy","1831","1830","0","1","340","15734","MIPLIB submission pool","–","2712.999999999999","benchmark_suitable invariant_knapsack mixed_binary general_linear"
"allcolor10","hard","14872","476","13776","620","34014","89136","Domenico Salvagnin","allcolor","6","decomposition aggregations precedence variable_bound set_partitioning integer_knapsack general_linear"
"allcolor58","open","84376","2492","78288","3596","197154","515184","Domenico Salvagnin","allcolor","258.0*","decomposition aggregations precedence variable_bound set_partitioning integer_knapsack general_linear"
"amaze22012-03-15i","hard","94351","31870","2770","59711","126975","251822","Gleb Belov","amaze","0","feasibility indicator numerics aggregations precedence variable_bound set_partitioning cardinality equation_knapsack integer_knapsack mixed_binary general_linear"
"amaze22012-06-28i","easy","12691","4376","914","7401","17319","33831","Gleb Belov","amaze","0","feasibility indicator numerics aggregations precedence variable_bound set_partitioning cardinality integer_knapsack mixed_binary general_linear"
"amaze22012-07-04i","hard","31237","10654","1603","18980","42328","83384","Gleb Belov","amaze","0","feasibility indicator numerics aggregations precedence variable_bound set_partitioning cardinality integer_knapsack mixed_binary general_linear"
"app1-1","easy","2480","1225","0","1255","4926","18275","Emilie Danna","app","-3","benchmark benchmark_suitable precedence variable_bound set_covering mixed_binary"
"app1-2","easy","26871","13300","0","13571","53467","199175","Emilie Danna","app","-41","benchmark decomposition benchmark_suitable precedence variable_bound set_covering mixed_binary"
"app2-1","easy","3283","3283","0","0","1038","8652","Emilie Danna","app","19294.125","binary decomposition numerics variable_bound set_packing mixed_binary"
"app2-2","easy","1226","1226","0","0","335","3130","Emilie Danna","app","212040.3571429","binary decomposition numerics variable_bound set_packing mixed_binary"
"app3","easy","3080","100","0","2980","766","14707","Emilie Danna","app","5751714.3289","variable_bound set_packing mixed_binary"
"arki001","easy","1388","442","96","850","1048","20420","MIPLIB submission pool","–","7580813.0459","numerics variable_bound set_packing invariant_knapsack integer_knapsack mixed_binary general_linear"
"assign1-10-4","open","572","520","0","52","582","28280","Robert Fourer","assign1","422*","set_partitioning cardinality mixed_binary"
"assign1-5-8","easy","156","130","0","26","161","3720","Robert Fourer","assign1","211.999999999998","benchmark benchmark_suitable set_partitioning cardinality mixed_binary"
"atlanta-ip","easy","48738","46667","106","1965","21732","257532","E-Plus, D. Bienstock, A. Bley, R. Wessäly","–","90.009878614","benchmark benchmark_suitable aggregations precedence variable_bound set_partitioning set_covering cardinality invariant_knapsack binpacking knapsack integer_knapsack mixed_binary general_linear"
"atm20-100","hard","6480","2220","0","4260","4380","58878","Matthew Galati","–","2463621.57727541","decomposition variable_bound set_partitioning invariant_knapsack mixed_binary"
"australia-abs-cta","easy","49758","918","0","48840","3946","33792","Jordi Castro","cta","106.0589096028744","decomposition numerics aggregations variable_bound mixed_binary"
"b-ball","easy","100","88","0","12","30","209","Christopher Cullenbine","–","-1.50000000000001","benchmark_suitable precedence cardinality mixed_binary"
"b1c1s1","easy","3872","288","0","3584","3904","11408","M. Vyve, Y. Pochet","c1s1","24544.25","benchmark benchmark_suitable aggregations variable_bound mixed_binary"
"b2c1s1","easy","3872","288","0","3584","3904","11408","M. Vyve, Y. Pochet","c1s1","25687.9","aggregations variable_bound mixed_binary"
"bab1","hard","61152","61152","0","0","60680","854392","Elmar Swarat, Laura Traverso, Julia Buwaya","bab","-218764.88525","binary decomposition aggregations set_packing set_covering cardinality invariant_knapsack knapsack mixed_binary"
"bab2","hard","147912","147912","0","0","17245","2027726","Elmar Swarat","bab","-357544.3115","benchmark binary decomposition benchmark_suitable aggregations set_partitioning set_packing set_covering cardinality invariant_knapsack equation_knapsack knapsack mixed_binary"
"bab3","open","393800","393800","0","0","23069","3301838","Elmar Swarat","bab","-656214.9542*","binary decomposition aggregations set_partitioning set_packing set_covering cardinality invariant_knapsack equation_knapsack knapsack mixed_binary"
"bab5","easy","21600","21600","0","0","4964","155520","Elmar Swarat","bab","-106411.8401","binary decomposition benchmark_suitable aggregations set_partitioning set_packing set_covering cardinality invariant_knapsack equation_knapsack knapsack mixed_binary"
"bab6","hard","114240","114240","0","0","29904","1283181","Elmar Swarat","bab","-284248.2307000001","benchmark binary benchmark_suitable aggregations precedence set_partitioning set_packing set_covering cardinality invariant_knapsack equation_knapsack knapsack mixed_binary"
"bc","easy","1751","483","0","1268","1913","227072","MIPLIB submission pool","bc","7","numerics variable_bound set_packing mixed_binary general_linear"
"bc1","easy","1751","252","0","1499","1913","227072","MIPLIB submission pool","bc","3.3383625476","numerics variable_bound set_packing mixed_binary"
"beasleyC1","easy","2500","1250","0","1250","1750","5000","F. Ortega, L. Wolsey","beasley","84.99999999999999","decomposition aggregations variable_bound mixed_binary"
"beasleyC2","easy","2500","1250","0","1250","1750","5000","F. Ortega, L. Wolsey","beasley","144","decomposition benchmark_suitable aggregations variable_bound mixed_binary"
"beasleyC3","easy","2500","1250","0","1250","1750","5000","F. Ortega, L. Wolsey","beasley","753.9999999999128","benchmark decomposition benchmark_suitable aggregations variable_bound mixed_binary"
"beavma","easy","390","195","0","195","372","975","MIPLIB submission pool","–","383285","decomposition aggregations variable_bound set_packing mixed_binary"
"berlin","easy","5304","2652","0","2652","2704","10608","MIPLIB submission pool","–","1043.999999997141","decomposition benchmark_suitable variable_bound mixed_binary"
"berlin_5_8_0","easy","1083","794","0","289","1532","4507","G. Klau","–","62","precedence invariant_knapsack mixed_binary"
"bg512142","hard","792","240","0","552","1307","3953","A. Miller","–","184202.75","aggregations precedence variable_bound mixed_binary"
"bharat","open","590519","122614","0","467905","1299953","3565462","Gavin Goodall","–","4193333.93287*","numerics aggregations precedence variable_bound mixed_binary"
"biella1","easy","7328","6110","0","1218","1203","71489","Double-Click SAS","–","3065005.78","benchmark_suitable mixed_binary general_linear"
"bienst1","easy","505","28","0","477","576","2184","MIPLIB submission pool","–","46.7499999999999","decomposition benchmark_suitable precedence variable_bound cardinality mixed_binary"
"bienst2","easy","505","35","0","470","576","2184","H. Mittelmann","–","54.59999999999996","decomposition benchmark_suitable precedence variable_bound cardinality mixed_binary"
"binkar10_1","easy","2298","170","0","2128","1026","4496","H. Mittelmann","–","6742.1998835","benchmark benchmark_suitable aggregations mixed_binary"
"blend2","easy","353","239","25","89","274","1409","MIPLIB submission pool","–","7.598985","decomposition aggregations variable_bound general_linear"
"bley_xl1","easy","5831","5831","0","0","175620","869391","A. Bley","bley_x","190","binary numerics aggregations variable_bound set_partitioning set_packing cardinality invariant_knapsack binpacking knapsack mixed_binary"
"bley_xs1","open","3243","2360","883","0","3290","25762","A. Bley","bley_x","3925261.169999983*","numerics aggregations variable_bound set_partitioning set_packing set_covering invariant_knapsack knapsack mixed_binary general_linear"
"bley_xs1noM","open","3243","2360","883","0","3290","25762","A. Bley","bley_x","3873690.77*","numerics aggregations variable_bound set_partitioning set_packing set_covering invariant_knapsack knapsack mixed_binary general_linear"
"bley_xs2","easy","2515","1632","883","0","2257","20861","A. Bley","bley_x","1051266.38","numerics aggregations variable_bound set_partitioning set_packing set_covering invariant_knapsack knapsack mixed_binary general_linear"
"blp-ar98","easy","16021","15806","0","215","1128","200601","M. Lübbecke","blp","6205.2147104","benchmark decomposition benchmark_suitable variable_bound set_packing equation_knapsack mixed_binary general_linear"
"blp-ic97","easy","9845","9753","0","92","923","118149","M. Lübbecke","blp","4025.023580799999","decomposition benchmark_suitable set_packing mixed_binary general_linear"
"blp-ic98","easy","13640","13550","0","90","717","191947","M. Lübbecke","blp","4491.44758395","benchmark decomposition benchmark_suitable set_packing mixed_binary general_linear"
"blp-ir98","easy","6097","6031","0","66","486","79152","M. Lübbecke","blp","2342.315488","decomposition benchmark_suitable set_packing equation_knapsack mixed_binary general_linear"
"bmocbd","easy","404875","125752","0","279123","153324","1277334","Sean MacDermant","bmocbd","-32041010095050","decomposition numerics aggregations variable_bound set_packing mixed_binary"
"bmocbd2","easy","403771","125467","0","278304","152791","1274240","Sean MacDermant","bmocbd","-3.195301e+13","decomposition numerics aggregations variable_bound set_packing mixed_binary"
"bmocbd3","open","403771","125467","0","278304","152791","1274240","Sean MacDermant","bmocbd","-372986719.737107*","numerics aggregations variable_bound set_packing mixed_binary"
"bmoipr2","easy","20503","8434","0","12069","13897","54649","Sean MacDermant","–","-46416168.2981393","decomposition numerics aggregations variable_bound set_packing mixed_binary"
"bnatt400","easy","3600","3600","0","0","5614","21698","Tatsuya Akutsu","bnatt","1","benchmark binary benchmark_suitable precedence set_covering invariant_knapsack binpacking knapsack"
"bnatt500","hard","4500","4500","0","0","7029","27203","Tatsuya Akutsu","bnatt","Infeasible","benchmark infeasible binary benchmark_suitable precedence set_covering invariant_knapsack binpacking knapsack"
"bppc4-08","easy","1456","1454","0","2","111","23964","Manuel Iori","bppc","53","benchmark benchmark_suitable set_partitioning mixed_binary"
"bppc6-02","hard","4784","4782","0","2","309","188143","Manuel Iori","bppc","116","set_partitioning mixed_binary"
"bppc6-06","open","3922","3920","0","2","273","181510","Manuel Iori","bppc","208*","set_partitioning mixed_binary"
"bppc8-02","easy","232","229","1","2","59","4387","Manuel Iori","bppc","506.9999999999998","aggregations set_partitioning mixed_binary"
"bppc8-09","easy","431","423","6","2","67","9051","Manuel Iori","bppc","471.9999999999998","benchmark_suitable set_partitioning mixed_binary"
"brasil","easy","6612","3306","0","3306","3364","13224","MIPLIB submission pool","–","13655","decomposition benchmark_suitable variable_bound mixed_binary"
"brazil3","easy","23968","23874","94","0","14646","133184","George Fonseca","timetabling","24","benchmark decomposition benchmark_suitable aggregations precedence variable_bound set_partitioning set_packing set_covering cardinality invariant_knapsack equation_knapsack mixed_binary general_linear"
"breastcancer-regularized","easy","715","692","14","9","723","8283","Berk Ustun","ustun","35.76784210526315","numerics variable_bound general_linear"
"bts4-cta","open","75400","2260","0","73140","45350","291904","Jordi Castro","cta","472243.4174959*","decomposition numerics variable_bound mixed_binary"
"buildingenergy","easy","154978","0","26287","128691","277594","788969","Kristopher A. Pruitt","–","33283.853236","benchmark benchmark_suitable aggregations precedence variable_bound mixed_binary general_linear"
"cap6000","easy","6000","6000","0","0","2176","48243","MIPLIB submission pool","–","-2451377","binary decomposition aggregations precedence variable_bound set_partitioning set_packing knapsack"
"cbs-cta","easy","24793","2467","0","22326","10112","64388","Jordi Castro","cta","0","benchmark decomposition benchmark_suitable variable_bound mixed_binary"
"cdc7-4-3-2","open","11811","11811","0","0","14478","259842","Sascha Kurz","–","-296.0*","binary set_packing"
"cdma","open","7891","4235","0","3656","9095","168227","Serge Bisaillon","–","-2.48e+16*","numerics aggregations variable_bound set_packing invariant_knapsack binpacking mixed_binary"
"chromaticindex1024-7","easy","73728","73728","0","0","67583","270324","Pierre Le Bodic","chromaticindex","4","benchmark binary benchmark_suitable set_partitioning set_packing"
"chromaticindex128-5","easy","9216","9216","0","0","8447","33780","Pierre Le Bodic","chromaticindex","4","binary benchmark_suitable set_partitioning set_packing"
"chromaticindex256-8","easy","18432","18432","0","0","16895","67572","Pierre Le Bodic","chromaticindex","4","binary benchmark_suitable set_partitioning set_packing"
"chromaticindex32-8","easy","2304","2304","0","0","2111","8436","Pierre Le Bodic","chromaticindex","4","binary benchmark_suitable set_partitioning set_packing"
"chromaticindex512-7","easy","36864","36864","0","0","33791","135156","Pierre Le Bodic","chromaticindex","4","benchmark binary benchmark_suitable set_partitioning set_packing"
"ci-s4","easy","745","355","150","240","26159","129124","Alexandra M. Newman","–","3336.23984845","decomposition benchmark_suitable aggregations precedence variable_bound mixed_binary general_linear"
"circ10-3","open","2700","2700","0","0","42620","307320","M. Winkler","–","280*","binary decomposition precedence variable_bound set_partitioning set_packing invariant_knapsack knapsack mixed_binary"
"cmflsp40-24-10-7","hard","13200","1200","0","12000","2825","127736","Andrea Arias","cmflsp","51664409.27209999","precedence variable_bound mixed_binary"
"cmflsp40-36-2-10","open","28152","1512","0","26640","4266","386432","Andrea Arias","cmflsp","66456407.51812819*","precedence variable_bound mixed_binary"
"cmflsp50-24-10-4","easy","16440","1440","0","15000","3527","159605","Andrea Arias","cmflsp","58988866.7484","numerics precedence variable_bound mixed_binary"
"cmflsp50-24-8-8","easy","16392","1392","0","15000","3520","158622","Andrea Arias","cmflsp","55789389.886","benchmark benchmark_suitable precedence variable_bound mixed_binary"
"cmflsp60-36-2-6","open","42192","2232","0","39960","6388","581335","Andrea Arias","cmflsp","73891245.38458699*","precedence variable_bound mixed_binary"
"CMS750_4","easy","11697","7196","0","4501","16381","44903","MIPLIB submission pool","–","252","benchmark benchmark_suitable precedence invariant_knapsack mixed_binary"
"co-100","easy","48417","48417","0","0","2187","1995817","Axel Werner","–","2639942.06","benchmark binary benchmark_suitable precedence set_partitioning set_packing binpacking knapsack"
"cod105","easy","1024","1024","0","0","1024","57344","MIPLIB submission pool","–","-12","benchmark binary benchmark_suitable set_packing"
"comp07-2idx","easy","17264","17155","109","0","21235","86577","Matias Sørensen","coursetimetabling","6","benchmark decomposition benchmark_suitable precedence variable_bound set_packing cardinality invariant_knapsack mixed_binary general_linear"
"comp08-2idx","easy","11554","11487","67","0","12536","51608","Matias Sørensen","coursetimetabling","37","decomposition benchmark_suitable precedence variable_bound set_packing cardinality invariant_knapsack mixed_binary general_linear"
"comp12-2idx","open","11863","11820","43","0","16803","73677","Matias Sørensen","coursetimetabling","291*","decomposition precedence variable_bound set_partitioning cardinality invariant_knapsack mixed_binary general_linear"
"comp16-3idx","hard","64193","56745","14","7434","71594","347276","Matias Sørensen","coursetimetabling","18.0","decomposition aggregations precedence variable_bound set_partitioning set_packing cardinality invariant_knapsack mixed_binary general_linear"
"comp21-2idx","hard","10863","10792","71","0","14038","57301","Matias Sørensen","coursetimetabling","74","benchmark decomposition benchmark_suitable precedence variable_bound set_partitioning cardinality invariant_knapsack mixed_binary general_linear"
"control20-5-10-5","easy","1310","100","0","1210","2430","14710","Qie He","control","406205618311810","decomposition numerics variable_bound set_partitioning mixed_binary"
