iteration	time	x1	x2	radius	f_value	arclength
1.000000000000000000e+00	1.000000000000000861e-04	3.999999839019163783e-02	1.999999982009581859e-02	4.472135802968382756e-02	2.138878515186986781e-02	0.000000000000000000e+00
2.000000000000000000e+00	1.035201855451648833e-04	3.999999827486032389e-02	1.999999980720696194e-02	4.472135792076429445e-02	2.138878500148581885e-02	1.160492718460307292e-10
4.000000000000000000e+00	1.109366699341962626e-04	3.999999801881774786e-02	1.999999977859291331e-02	4.472135767895626252e-02	2.138878466762402994e-02	3.736857713653168721e-10
5.000000000000000000e+00	1.148418465535072197e-04	3.999999787688014036e-02	1.999999976273067470e-02	4.472135754490959986e-02	2.138878448254721842e-02	5.165069654296790026e-10
7.000000000000000000e+00	1.230694473608879549e-04	3.999999756176995935e-02	1.999999972751552446e-02	4.472135724731779449e-02	2.138878407166536905e-02	8.335787743543152757e-10
8.000000000000000000e+00	1.274017202574003209e-04	3.999999738708814867e-02	1.999999970799395260e-02	4.472135708234731971e-02	2.138878384389239495e-02	1.009348024745283198e-09
1.000000000000000000e+01	1.365291466085877985e-04	3.999999699928379754e-02	1.999999966465486334e-02	4.472135671610273644e-02	2.138878333822239602e-02	1.399566539271231598e-09
1.100000000000000000e+01	1.413352258924401440e-04	3.999999678430385397e-02	1.999999964062977240e-02	4.472135651307448945e-02	2.138878305790345088e-02	1.615884779640733334e-09
1.300000000000000000e+01	1.514608887371438181e-04	3.999999630703520576e-02	1.999999958729259397e-02	4.472135606233932498e-02	2.138878243557822481e-02	2.096124538194514071e-09
1.400000000000000000e+01	1.567925930490468816e-04	3.999999604246058660e-02	1.999999955772504417e-02	4.472135581247357883e-02	2.138878209059126567e-02	2.362346194929129153e-09
1.600000000000000000e+01	1.680256662177253332e-04	3.999999545508869936e-02	1.999999949208327438e-02	4.472135525775630671e-02	2.138878132469906879e-02	2.953374597122914792e-09
1.700000000000000000e+01	1.739404814320885358e-04	3.999999512947818858e-02	1.999999945569465656e-02	4.472135495024793378e-02	2.138878090012556049e-02	3.281012110130723608e-09
1.900000000000000000e+01	1.864020787366921152e-04	3.999999440660288036e-02	1.999999937490968757e-02	4.472135426756047860e-02	2.138877995754634789e-02	4.008387477585775768e-09
2.000000000000000000e+01	1.929637777682681541e-04	3.999999400587582465e-02	1.999999933012641673e-02	4.472135388911162301e-02	2.138877943502609860e-02	4.411609141633244673e-09
2.200000000000000000e+01	2.067882588386045614e-04	3.999999311623720494e-02	1.999999923070480343e-02	4.472135304893196800e-02	2.138877827499915951e-02	5.306785956078792728e-09
2.300000000000000000e+01	2.140675892353394443e-04	3.999999262306466047e-02	1.999999917559027590e-02	4.472135258317707501e-02	2.138877763193644532e-02	5.803028611131758212e-09
2.500000000000000000e+01	2.294040081704539792e-04	3.999999152819137122e-02	1.999999905323264493e-02	4.472135154917266514e-02	2.138877620429784077e-02	6.904717724231939035e-09
2.600000000000000000e+01	2.374794549060993561e-04	3.999999092124666838e-02	1.999999898540350332e-02	4.472135097597071396e-02	2.138877541288419781e-02	7.515440789708564269e-09
