iteration	time	f_value	arclength
1.000000000000000000e+00	1.000000000000000861e-04	2.138878515186986781e-02	0.000000000000000000e+00
2.000000000000000000e+00	1.035201855451648833e-04	2.138878500148581885e-02	1.160492718460307292e-10
3.000000000000000000e+00	1.071642881530537243e-04	2.138878484032783259e-02	2.404126468701262168e-10
4.000000000000000000e+00	1.109366699341962626e-04	2.138878466762402994e-02	3.736857713653168721e-10
5.000000000000000000e+00	1.148418465535072197e-04	2.138878448254721842e-02	5.165069654296790026e-10
7.000000000000000000e+00	1.230694473608879549e-04	2.138878407166536905e-02	8.335787743543152757e-10
8.000000000000000000e+00	1.274017202574003209e-04	2.138878384389239495e-02	1.009348024745283198e-09
9.000000000000000000e+00	1.318864971981926148e-04	2.138878359980109223e-02	1.197709889363861009e-09
1.000000000000000000e+01	1.365291466085877985e-04	2.138878333822239602e-02	1.399566539271231598e-09
1.100000000000000000e+01	1.413352258924401440e-04	2.138878305790345088e-02	1.615884779640733334e-09
1.300000000000000000e+01	1.514608887371438181e-04	2.138878243557822481e-02	2.096124538194514071e-09
1.400000000000000000e+01	1.567925930490468816e-04	2.138878209059126567e-02	2.362346194929129153e-09
1.500000000000000000e+01	1.623119832454487628e-04	2.138878172088844870e-02	2.647640735875650332e-09
1.600000000000000000e+01	1.680256662177253332e-04	2.138878132469906879e-02	2.953374597122914792e-09
1.700000000000000000e+01	1.739404814320885358e-04	2.138878090012556049e-02	3.281012110130723608e-09
1.900000000000000000e+01	1.864020787366921152e-04	2.138877995754634789e-02	4.008387477585775768e-09
2.000000000000000000e+01	1.929637777682681541e-04	2.138877943502609860e-02	4.411609141633244673e-09
2.100000000000000000e+01	1.997564607806706345e-04	2.138877887507101283e-02	4.843718762543284829e-09
2.200000000000000000e+01	2.067882588386045614e-04	2.138877827499915951e-02	5.306785956078792728e-09
2.300000000000000000e+01	2.140675892353394443e-04	2.138877763193644532e-02	5.803028611131758212e-09
2.500000000000000000e+01	2.294040081704539792e-04	2.138877620429784077e-02	6.904717724231939035e-09
2.600000000000000000e+01	2.374794549060993561e-04	2.138877541288419781e-02	7.515440789708564269e-09
2.700000000000000000e+01	2.458391723504399929e-04	2.138877456477144418e-02	8.169917804146540577e-09
2.800000000000000000e+01	2.544931673598733600e-04	2.138877365589748197e-02	8.871283424882467822e-09
2.900000000000000000e+01	2.634517990507076490e-04	2.138877268190922387e-02	9.622896884891013176e-09
3.100000000000000000e+01	2.823262450791042075e-04	2.138877051959570119e-02	1.129152482074470065e-08
3.200000000000000000e+01	2.922646527485853055e-04	2.138876932091394317e-02	1.221653128955487339e-08
3.300000000000000000e+01	3.025529108082676056e-04	2.138876803635524418e-02	1.320780786158229114e-08
3.400000000000000000e+01	3.132033346410155439e-04	2.138876665976714719e-02	1.427010231419246311e-08
3.500000000000000000e+01	3.242286731540226763e-04	2.138876518455642278e-02	1.540850256863897518e-08
3.700000000000000000e+01	3.474573495735993060e-04	2.138876190949853470e-02	1.793582084616214590e-08
3.800000000000000000e+01	3.596884929689021250e-04	2.138876009396532829e-02	1.933684360469797839e-08
3.900000000000000000e+01	3.723501953060148208e-04	2.138875814836226769e-02	2.083823961205377316e-08
